fixIdx,legIdx,tickLead,togo,area
553,2,929.243491828861,129.765,20023.22632347226
554,2,939.243491828861,129.55,52365.384107968144
555,2,949.243491828861,129.329,54308.36450857808
556,2,959.243491828861,129.104,55777.5389978554
557,2,969.243491828861,128.972,33018.27980843497
561,2,1009.243491828861,128.825,38246.451836066866
563,2,1029.243491828861,128.766,15642.307757916935
564,2,1039.243491828861,128.561,54822.20905447403
565,2,1049.243491828861,128.347,57685.6360577362
566,2,1059.243491828861,128.125,60309.9178976679
567,2,1069.243491828861,127.899,61867.95103995001
568,2,1079.243491828861,127.634,73082.3167073388
569,2,1089.243491828861,127.38,70554.17431561362
570,2,1099.243491828861,127.13,69942.11527634085
571,2,1110.243491828861,126.851,78672.62989119285
572,2,1120.243491828861,126.587,74952.83930167924
573,2,1130.243491828861,126.307,80032.90333431936
574,2,1140.243491828861,126.02,82573.98101449695
575,2,1150.243491828861,125.755,76744.67711613119
576,2,1160.243491828861,125.483,79287.2531968245
577,2,1170.243491828861,125.21,80090.51551329841
578,2,1180.243491828861,124.948,77354.80607437827
579,2,1190.243491828861,124.699,73988.03853414388
580,2,1200.243491828861,124.468,69083.1071996869
581,2,1210.243491828861,124.231,71333.76404332268
582,2,1220.243491828861,123.989,73299.09916910292
583,2,1230.243491828861,123.735,77409.25304753393
584,2,1240.243491828861,123.495,73590.09563636225
585,2,1250.243491828861,123.376,36729.214467482576
586,2,1260.243491828861,123.303,22693.919115424498
588,2,1280.243491828861,123.135,53004.10846740342
589,2,1290.243491828861,122.935,63498.04320686647
590,2,1300.243491828861,122.717,69630.81630753518
591,2,1310.243491828861,122.535,58483.85030815884
592,2,1321.243491828861,122.292,78604.68753087662
593,2,1331.243491828861,122.051,78392.48687426928
594,2,1341.243491828861,121.821,75231.09855303753
595,2,1351.243491828861,121.597,73677.4053778567
596,2,1361.243491828861,121.352,81024.62254859763
597,2,1371.243491828861,121.117,78133.74898175905
598,2,1381.243491828861,120.882,78550.99278808656
599,2,1391.243491828861,120.666,72587.24992028673
600,2,1401.243491828861,120.44,76353.69621504068
601,2,1411.243491828861,120.212,77433.0336853947
602,2,1421.243491828861,119.982,78516.05663355989
603,2,1431.243491828861,119.757,77203.09878469889
604,2,1441.243491828861,119.536,76218.36483473626
605,2,1451.243491828861,119.324,73488.53233714838
606,2,1461.243491828861,119.206,41128.94839249896
607,2,1471.243491828861,119.136,24546.138143065797
608,2,1481.243491828861,119.118,6352.419364239722
610,2,1501.243491828861,119.073,16091.220985299979
611,2,1511.243491828861,118.94,47839.514430346535
612,2,1522.243491828861,118.866,26787.899050520504
617,2,1572.243491828861,118.739,47443.76018924981
618,2,1582.243491828861,118.605,50321.82390950044
620,2,1602.243491828861,118.568,14060.32914044081
